dt, Acceleration, Pressure, Their Altitude, Our Altitude, DES
0.017700,-1.800000,61365.000000,4038.37,4057.270106,4400
0.008400,-6.470000,61215.000000,4049.38,4056.266500,4400
0.008700,-0.070000,61264.000000,4050.51,4055.850577,4400
0.017500,-6.350000,61227.000000,4044.25,4054.805312,4400
0.008400,-5.530000,61314.000000,4040.62,4052.878186,4400
0.008500,-5.370000,61308.000000,4042.75,4050.818818,4400
0.017600,-5.650000,61399.000000,4022.76,4047.283708,4400
0.008500,-2.750000,61517.000000,4017.27,4041.477092,4400
0.008400,-9.570000,61458.000000,4028.25,4037.748842,4400
0.017400,-7.770000,61336.000000,4033.12,4038.751142,4400
0.008700,-3.450000,61400.000000,4028.50,4037.874937,4400
0.008400,-2.790000,61362.000000,4037.75,4038.273060,4400
0.017400,-9.850000,61422.000000,4027.25,4036.172991,4400
0.008400,-11.140000,61500.000000,4007.42,4032.919456,4400
0.008800,-15.380000,61531.000000,4032.38,4028.875195,4400
0.017600,0.820000,61493.000000,4018.27,4028.959468,4400
0.008500,-0.200000,61510.000000,4018.39,4027.029523,4400
0.008500,-5.770000,61506.000000,4017.15,4026.027129,4400
0.017600,-8.870000,61542.000000,4015.28,4023.685308,4400
0.008300,-10.160000,61542.000000,4010.04,4022.152409,4400
0.008500,-11.770000,61543.000000,4012.78,4020.605316,4400
0.017600,-5.020000,61612.000000,4007.42,4018.515630,4400
0.008500,-6.860000,61618.000000,4001.32,4015.970628,4400
0.008700,-9.020000,61639.000000,4001.32,4013.717687,4400
0.017300,-5.140000,61626.000000,4002.56,4012.513577,4400
0.008400,-3.020000,61676.000000,3983.78,4010.378574,4400
0.008500,-6.710000,61795.000000,3994.60,4005.147496,4400
0.017600,-11.530000,61678.000000,3992.61,4003.863943,4400
0.008500,-11.530000,61662.000000,3996.46,4003.477940,4400
0.008400,-5.920000,61700.000000,3991.36,4002.717822,4400
0.017500,-4.470000,61833.000000,3988.25,3998.389745,4400
0.008700,-5.450000,61776.000000,3983.41,3996.608733,4400
0.008500,-16.320000,61793.000000,3982.29,3993.544393,4400
0.017700,0.750000,61765.000000,3972.85,3994.493521,4400
0.008500,-6.320000,61982.000000,3959.82,3987.115420,4400
0.011200,-7.880000,61965.000000,3957.71,3983.267399,4400
0.017400,-11.180000,61979.000000,3960.44,3978.521433,4400
0.008400,-5.490000,61917.000000,3966.27,3978.011053,4400
0.008500,0.240000,61902.000000,3968.50,3977.650361,4400
0.017500,-1.140000,61889.000000,3968.26,3977.656531,4400
0.008400,-4.510000,61944.000000,3962.67,3975.896848,4400
0.008500,-7.450000,61947.000000,3958.58,3974.386363,4400
0.017600,-11.260000,62096.000000,3946.69,3968.834247,4400
0.008700,-4.240000,62096.000000,3940.63,3965.657606,4400
0.008400,-12.980000,62133.000000,3941.62,3960.560310,4400
0.017700,-5.330000,62032.000000,3949.41,3961.021452,4400
0.008500,-1.330000,62040.000000,3947.93,3960.467381,4400
0.008900,0.710000,62021.000000,3959.70,3961.241631,4400
0.017200,-1.650000,62239.000000,3923.81,3955.303028,4400
0.008500,-9.770000,62252.000000,3926.16,3950.054788,4400
0.008400,-9.300000,62246.000000,3921.84,3946.408941,4400
0.018500,0.550000,62050.000000,3943.97,3949.426766,4400
0.008400,1.100000,62161.000000,3931.47,3948.435592,4400
0.008500,-0.670000,62276.000000,3918.63,3944.822652,4400
0.017300,7.850000,62293.000000,3924.68,3942.272762,4400
0.008700,-8.900000,62293.000000,3919.37,3937.982154,4400
0.008500,-3.610000,62206.000000,3927.64,3939.018014,4400
0.017300,5.490000,62361.000000,3910.98,3935.272292,4400
0.008500,3.610000,62333.000000,3914.19,3933.226674,4400
0.008700,-5.530000,62295.000000,3924.43,3931.537059,4400
0.017500,-0.590000,62302.000000,3919.37,3931.131563,4400
0.008500,-5.690000,62263.000000,3914.19,3930.589585,4400
